file,white
C:\Users\rendr\prj\image_calc\output\1_calc.png,6.834057342903802
C:\Users\rendr\prj\image_calc\output\Luax 4486-165_0s-2_calc.png,5.090708733484384
C:\Users\rendr\prj\image_calc\output\test_calc.png,50.0
